time,title,body,market_change,preditction_title_ahmedrachid/FinancialBERT-Sentiment-Analysis
2023-10-10 18:01:05.210421+00:00,Amazon Prime Members Can Save 20% on Priceline Hotel Bookings During Prime Big Deal Days,You can save money on more than clothes and electronics this Prime Big Deal Days. Discover how to save an extra 20% on eligible Priceline hotel bookings.,6322.597548052364,"{'label': 'neutral', 'score': 0.9997290968894958}"
2023-10-09 08:40:25.444093+00:00,Fast Stochastic,Subscribe to Yahoo Finance Plus to view Fair Value for AMZN,9667.001726447148,"{'label': 'neutral', 'score': 0.9991337656974792}"
2023-10-09 21:02:58.127922+00:00,"Why Starbucks, Whole Foods, and others are closing stores in downtown San Francisco",Is crime in San Francisco driving Starbucks and other consumer-facing chains away? It's complicated.,9049.598081811717,"{'label': 'neutral', 'score': 0.545785665512085}"
2023-10-11 14:01:14.695630+00:00,Warren Buffett Owns This Stock-Split Artificial Intelligence (AI) Stock. Should You?,Amazon is quietly building an artificial intelligence operation that could disrupt its Big Tech cohorts.,3858.7200875791164,"{'label': 'neutral', 'score': 0.998508632183075}"
2023-10-09 17:52:51.497137+00:00,Falten-Testsieger: Was Frauen ab 50 gegen Falten tun,,9049.598081811717,"{'label': 'neutral', 'score': 0.993415355682373}"
2023-10-09 08:40:25.444093+00:00,30 Most Air Polluted Countries in the World,"In this article, we will be looking at 30 most air polluted countries in the world. If you want to skip our detailed analysis, you can go directly to see 5 Most Air Polluted Countries in the World. Air pollution is a major challenge to the environment and public health, costing us billions of dollars […]",9666.982134161992,"{'label': 'neutral', 'score': 0.9996219873428345}"
2023-10-09 18:21:28.631381+00:00,Why battered tech stocks could now be a great buy despite blowout jobs report,,9049.677336598897,"{'label': 'positive', 'score': 0.9997091889381409}"
2023-10-09 13:03:25.321064+00:00,3 Reasons to Buy Amazon Stock Right Now,"Wall Street is highly bullish on Amazon (NASDAQ: AMZN) stock right now.  There are some good reasons for this rally, including Amazon's strong positioning in attractive global markets like e-commerce and cloud computing.  On the other hand, the company hasn't been impressing investors with strong profits in recent years.",9667.065306370196,"{'label': 'neutral', 'score': 0.9995429515838623}"
2023-10-09 17:25:52.241495+00:00,Jongny: Nicht verkaufte verlassene Häuser werden fast...,Top-Angebote für verlassene Häuser – Preise suchen,9049.65768300276,"{'label': 'neutral', 'score': 0.9995952248573303}"
2023-10-09 19:51:26.913920+00:00,Let's Look at Amazon's Big Day and Why This Food Name Is No Small Fry,"Online retailers begin battling for bucks, and this potato name could serve up some golden nuggets of information on McDonald's.",9049.577787169355,"{'label': 'neutral', 'score': 0.9991042017936707}"
2023-10-08 20:05:27.039904+00:00,AI is a 'top investment priority' for CEOs: KPMG survey,72% of US CEOs rank artificial intelligence as a top investment priority for their company.,9120.359802022944,"{'label': 'neutral', 'score': 0.99967360496521}"
2023-10-10 13:02:40.740218+00:00,1 Green Flag and 1 Red Flag For BlackBerry's IoT Spinoff,"Back in May, BlackBerry (NYSE: BB) said it was conducting a strategic review that could lead to the possible separation of one or more of its businesses.  The IoT unit will be operated independently from BlackBerry's remaining cybersecurity division after its IPO, but it will remain a publicly traded subsidiary of BlackBerry.  In addition to generating some fresh cash, management believes that an IPO will enable BlackBerry's investors to ""evaluate the performance and future potential of BlackBerry's principal businesses on a stand-alone basis while allowing each business to pursue its own distinct strategy and capital allocation policy.""",6808.685331312818,"{'label': 'neutral', 'score': 0.999764621257782}"
2023-10-09 20:30:58.765386+00:00,"Amazon, Walmart Holiday Deals Will Tow In This Hot Shopping Trend","Holiday shopping deals from the nation's biggest retailers, along with S&P 500 and Dow Jones earnings, take off in earnest this week.  Amazon Prime Day, set for Tuesday and Wednesday, brings exclusive deals for Amazon Prime members.",9049.618162010358,"{'label': 'neutral', 'score': 0.9990204572677612}"
2023-10-10 17:30:59.788666+00:00,Amazon Has Cheap Halloween Candy for Prime Days — How Do Prices Compare to Costco & Walmart?,"You might expect great deals on home electronics, clothing, and health and beauty items for Amazon Prime Big Deal Days, going on Oct. 10-11, 2023. But you might want to add Halloween candy to your...",6322.627640661555,"{'label': 'neutral', 'score': 0.9997264742851257}"
2023-10-10 11:31:13.737523+00:00,Amazon Dangles Prime Day Deals With Shoppers in ‘Driver’s Seat’,"(Bloomberg) -- Amazon.com Inc.’s fall sale for Prime subscribers kicked off Tuesday, with the e-commerce giant looking to get a jump on what’s expected to be a humdrum holiday shopping season.Most Read from BloombergIsrael Latest: Top US General Warns Iran to Stay Out of ConflictSchumer Confronts Xi on Israel-Hamas Stance in Rare MeetingA Fractured Israel Unites Around a Singular Goal: Crush the EnemyBank of America’s Wrong-Way Rate Bet Hurts Moynihan’s Growth PledgeIsrael Latest: Over 1,100 Dea",6808.733982294911,"{'label': 'neutral', 'score': 0.999488353729248}"
2023-10-08 20:05:27.039904+00:00,Goldman Sachs Says Buy These 2 Tech Giants as the Upcoming Earnings Season Is a Potential Catalyst,"Most of 2023 has been defined by the big tech stocks driving bullish sentiment and overcoming 2022’s bear market. That said, since about halfway through the summer, the bull market has been on pause with the prospect of interest rates remaining high for longer than expected, among other macro factors, putting a dampener on proceedings. Still, going by the past week’s performance, there are signs the bulls’ charge is about to resume in earnest. In fact, with Q3 earnings season about to commence,",9120.395283852702,"{'label': 'neutral', 'score': 0.9994348883628845}"
2023-10-09 17:01:26.985342+00:00,Alphabet (GOOGL) Boosts Virtual Assistant Capabilities With Bard,"Alphabet's (GOOGL) Google intends to launch Assistant with Bard, to integrate generative AI capabilities with its virtual assistant.",9049.61764394026,"{'label': 'neutral', 'score': 0.9985468983650208}"
2023-10-11 13:30:58.971813+00:00,Wall Street Loves Amazon Stock Right Now. Here's Why I'm Not Buying.,"For much of Amazon's (NASDAQ: AMZN) history, ""buy Amazon stock"" has been great advice.  Unlike at Costco or Walmart, groceries aren't much more than a drop in the bucket at Amazon, and consumers have proven to be sensitive to inflation in the discretionary categories that are the online retailer's bread and butter.",3858.7396798642726,"{'label': 'neutral', 'score': 0.9986932873725891}"
2023-10-10 20:03:31.797350+00:00,"Amazon Looks to Cash In On Holiday Spending, But It's Not The Only Sale In Town","Amazon kicked off the Prime Big Deal Days event to get customers to open up their wallets for early holiday spending, but history suggests that this sequel is unlikely to break the sales record set by Prime Day in July.",6322.557508989864,"{'label': 'neutral', 'score': 0.9995964169502258}"
2023-10-10 13:30:57.114845+00:00,Hollywood writers ratify deal with studios to officially end historic strike,An actors' strike is still ongoing.,6322.569166704709,"{'label': 'positive', 'score': 0.9980416297912598}"
2023-10-11 19:01:22.562799+00:00,"Amazon Still Has A Big Lead Among Teen Shoppers, Despite Challenge From Temu","Amazon is still the preferred retailer of Gen Z shoppers, despite growing concerns about competition from Temu and Shein.",3858.765272757357,"{'label': 'neutral', 'score': 0.9994710087776184}"
2023-10-11 18:01:08.608277+00:00,Prime Day: Best Sales Beyond Amazon,"Not an Amazon Prime member? Not a problem. Check out these special sales happening today at other retailers. If you’re an Amazon Prime member, you probably already know about all the great deals available October 10 and 11 for Prime members. Amazon offers countless bargains on dozens of items every day, and on Prime Day, those items often come with even bigger discounts. But what you may not realize is that Amazon isn’t the only retailer offering discounts right now. If you’re shopping, but choo",3858.7368914096996,"{'label': 'neutral', 'score': 0.9997583031654358}"
2023-10-08 20:05:27.039904+00:00,The Top Stock Funds Over the Past Year Had One Thing in Common: Nvidia,Shares of the chip maker were big holdings of the large-cap growth funds that led gainers over the past 12 months.,9120.39880906966,"{'label': 'neutral', 'score': 0.9996976852416992}"
2023-10-09 12:31:43.451725+00:00,"MercadoLibre Stock: Buy, Sell, or Hold?","MercadoLibre (NASDAQ: MELI) may not be a household name in the U.S., but investors in the know are likely familiar with this e-commerce stock.  Let's take a look at reasons why you should buy, sell, or hold MercadoLibre stock.  The company has a long track record of delivering rapid revenue growth, and it continues to do so today.",9667.045286838946,"{'label': 'neutral', 'score': 0.9997690320014954}"
2023-10-10 12:01:04.590176+00:00,Amazon Dangles Prime Day Deals With Shoppers in ‘Driver’s Seat’,"(Bloomberg) -- Amazon.com Inc.’s fall sale for Prime subscribers kicked off Tuesday, with the e-commerce giant looking to get a jump on what’s expected to be a humdrum holiday shopping season.Most Read from BloombergIsrael Latest: Top US General Warns Iran to Stay Out of ConflictSchumer Confronts Xi on Israel-Hamas Stance in Rare MeetingA Fractured Israel Unites Around a Singular Goal: Crush the EnemyXi’s Reply to Hamas Attack Shows China’s Limit as PeacemakerBank of America’s Wrong-Way Rate Bet",6808.74001962669,"{'label': 'neutral', 'score': 0.999488353729248}"
2023-10-10 18:31:03.823297+00:00,3 Essential Tools Every Prime Day Shopper Should Use,October Prime Day is here. These three tools will help you find the deals that are actually worth your money.,6322.613816667491,"{'label': 'neutral', 'score': 0.9996899366378784}"
2023-10-11 18:33:21.583160+00:00,5 Fall Favorites to Buy From the Dollar Tree,"If you're celebrating the season, the Dollar Tree has you covered. Check out these fall favorites, from candy pails to decorative dishes.",3858.6676985268155,"{'label': 'neutral', 'score': 0.9995195865631104}"
2023-10-11 19:34:20.883271+00:00,Here’s Why I Stopped Shopping at Amazon,"Ten years ago, James Stobie made a decision that continues to attract questions from those who know about it. He decided to stop shopping on Amazon. His reason wasn't a financial one; it was an...",3858.6676985268155,"{'label': 'neutral', 'score': 0.999767005443573}"
2023-10-09 11:04:20.952634+00:00,Why battered tech stocks could now be a great buy despite blowout jobs report,Maybe it's time to dabble in tech stocks following a steep rates-driven sell-off.,9666.93827933017,"{'label': 'positive', 'score': 0.9997091889381409}"
2023-10-11 15:02:02.716378+00:00,Amazon executives: There's progress in the health care business,"After stumbling several times, Amazon is now looking to others to help it build its health care efforts.",3858.7229353432217,"{'label': 'neutral', 'score': 0.9932954907417297}"
2023-10-09 12:01:18.483742+00:00,"Zacks Market Edge Highlights: NVIDIA, Meta Platforms, Amazon.com, JPMorgan Chase and Sterling Infrastructure","NIDIA, Meta Platforms, Amazon.com, JPMorgan Chase and Sterling Infrastructure are part of the Zacks Market Edge blog.",9667.104044984651,"{'label': 'neutral', 'score': 0.9997479319572449}"
